2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.024) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissions_user_id_permission_id_14a6b632_uniq` UNIQUE (`user_id`, `permission_id`); args=()
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.009) SHOW FULL TABLES; args=None
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.010) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0001_initial', '2019-03-06 06:03:55.284595'); args=['auth', '0001_initial', '2019-03-06 06:03:55.284595']
2019-03-06 14:03:55  django.db.backends.schema  DEBUG  [111]   CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime(6) NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); (params None)
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.031) CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime(6) NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); args=None
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.008) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.009) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SELECT engine FROM information_schema.tables WHERE table_name = 'django_admin_log'; args=['django_admin_log']
2019-03-06 14:03:55  django.db.backends.schema  DEBUG  [111]   ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_content_type_id_c4bce8eb_fk_django_co` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params ())
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.048) ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_content_type_id_c4bce8eb_fk_django_co` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=()
2019-03-06 14:03:55  django.db.backends.schema  DEBUG  [111]   ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_user_id_c564eba6_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params ())
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.052) ALTER TABLE `django_admin_log` ADD CONSTRAINT `django_admin_log_user_id_c564eba6_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=()
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SHOW FULL TABLES; args=None
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.006) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('admin', '0001_initial', '2019-03-06 06:03:55.528804'); args=['admin', '0001_initial', '2019-03-06 06:03:55.528804']
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) SHOW FULL TABLES; args=None
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.007) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('admin', '0002_logentry_remove_auto_add', '2019-03-06 06:03:55.578839'); args=['admin', '0002_logentry_remove_auto_add', '2019-03-06 06:03:55.578839']
2019-03-06 14:03:55  django.db.backends.schema  DEBUG  [111]   ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; (params [])
2019-03-06 14:03:55  django.db.backends  DEBUG  [91]   (0.080) ALTER TABLE `django_content_type` MODIFY `name` varchar(100) NULL; args=[]
